texto_original;texto_limpio
Quiero escuchar la mejor música pop de los años ochenta.;quiero escuchar la mejor música pop de los años ochenta
Su negocio es uno de los más reconocidos en este país.;su negocio es uno de los más reconocidos en este país
Dicen que la ciudad de la eterna primavera está en México.;dicen que la ciudad de la eterna primavera está en méxico
¿Cómo puedo comunicarme con el noticiero más importante?;cómo puedo comunicarme con el noticiero más importante
¿En cuántos juegos asiáticos ha participado?;en cuántos juegos asiáticos ha participado
Los niños tienen mucha imaginación.;los niños tienen mucha imaginación
La granizada destruyó toda la plantación de lechuga.;la granizada destruyó toda la plantación de lechuga
¿Podés verificar si hay alguna zapatería cerca de la casa de mis primos?;podés verificar si hay alguna zapatería cerca de la casa de mis primos
Quiero comprar un perro pero la verdad es que no tengo ideas de razas.;quiero comprar un perro pero la verdad es que no tengo ideas de razas
La mermelada de zarzamora es muy fácil de hacer.;la mermelada de zarzamora es muy fácil de hacer
Es un día muy soleado, se esperan lluvias por la tarde.;es un día muy soleado se esperan lluvias por la tarde
El actor es extraordinario, es de origen Hindú y habla varios idiomas.;el actor es extraordinario es de origen hindú y habla varios idiomas
Miami está ubicada en la costa este de Estados Unidos.;miami está ubicada en la costa este de estados unidos
En tu zona hay tres paradas de bicicleta urbana.;en tu zona hay tres paradas de bicicleta urbana
Mañana es día laboral.;mañana es día laboral
¿Dónde nació el director González Iñárritu?;dónde nació el director gonzález iñárritu
Del subte al cine son tres minutos.;del subte al cine son tres minutos
La conferencia es sobre la importancia del aseo personal en el trabajo.;la conferencia es sobre la importancia del aseo personal en el trabajo
¿Tenés agua?;tenés agua
¿Qué tan destruida quedó La Florida después del huracan Irma?;qué tan destruida quedó la florida después del huracan irma
Me parece muy interesante la información.;me parece muy interesante la información
Ayer estuve en en museo de Arte Moderno, y vi una exposición buenísima.;ayer estuve en en museo de arte moderno y vi una exposición buenísima
Quiero saber que tipo pizza es más saludable.;quiero saber que tipo pizza es más saludable
¿Me podés mandar fotos de él?;me podés mandar fotos de él
Estoy muy emocionada porque me voy a Marruecos.;estoy muy emocionada porque me voy a marruecos
Los repollitos de Bruselas no me gustan.;los repollitos de bruselas no me gustan
Quiero ver una película de acción.;quiero ver una película de acción
Estoy muy emocionada porque me voy a Tierra del Fuego.;estoy muy emocionada porque me voy a tierra del fuego
Los sandwiches están fríos.;los sandwiches están fríos
Los niños tienen mucha imaginación.;los niños tienen mucha imaginación
Los cabecillas de la banda huyeron a caballo.;los cabecillas de la banda huyeron a caballo
La historia es muy triste.;la historia es muy triste
Tenés que encargarte de todo eso.;tenés que encargarte de todo eso
Ayer llovió mucho, y llegue tarde a mi reunión.;ayer llovió mucho y llegue tarde a mi reunión
Raúl, me sentí muy eufórico estos días.;raúl me sentí muy eufórico estos días
El drama se refiere a todo el teatro y no solo al género de teatro serio.;el drama se refiere a todo el teatro y no solo al género de teatro serio
¿Cuáles son las principales diferencias?;cuáles son las principales diferencias
La ciudad es bellísima y tan alegre.;la ciudad es bellísima y tan alegre
Lola qué triste lo que les paso a los japoneses con el tsunami.;lola qué triste lo que les paso a los japoneses con el tsunami
Los autos chicos normalmente ahorran más nafta.;los autos chicos normalmente ahorran más nafta
¿Cuál fue el último disco que grabaron?;cuál fue el último disco que grabaron
Al circular menos automóviles en la ciudad se logra una mejor calidad del aire.;al circular menos automóviles en la ciudad se logra una mejor calidad del aire
En algunas ciudades japonesas se ha prohibido el uso de bolsas de plástico.;en algunas ciudades japonesas se ha prohibido el uso de bolsas de plástico
El único tipo de musica que me gusta es la clásica.;el único tipo de musica que me gusta es la clásica
Salma Hayek fue la actriz que interpretó a Frida Kahlo en la película.;salma hayek fue la actriz que interpretó a frida kahlo en la película
A los piratas les encantan las bahias.;a los piratas les encantan las bahias
Alex, ¿podrás buscar algún restaurante para hoy a la noche?;alex podrás buscar algún restaurante para hoy a la noche
Los sandwiches están fríos.;los sandwiches están fríos
Quiero comprar una computadora y quiero que me ayudes a hacer un pedido.;quiero comprar una computadora y quiero que me ayudes a hacer un pedido
Las tejas rojas del tejado no son de México, son de Texas.;las tejas rojas del tejado no son de méxico son de texas
Quiero que me reserves el mejor asiento del teatro.;quiero que me reserves el mejor asiento del teatro
¿Sabés quién fue Pablo Picasso?;sabés quién fue pablo picasso
La película me llegó al corazón.;la película me llegó al corazón
¿Hay alguna teoría de que los crucigramas pueden ayudar a la vida sentimental?;hay alguna teoría de que los crucigramas pueden ayudar a la vida sentimental
No supo descifrar las huellas.;no supo descifrar las huellas
Que sea una cartera grande, que ya tiene dos hijos.;que sea una cartera grande que ya tiene dos hijos
No sé hablar malayo.;no sé hablar malayo
Me parece muy interesante el libro de Rafael sobre fotografía digital.;me parece muy interesante el libro de rafael sobre fotografía digital
Quiero una cartera de buena marca.;quiero una cartera de buena marca
El pijama de rayas es azul.;el pijama de rayas es azul
¿Es verdad que la pimienta es saludable?;es verdad que la pimienta es saludable
¿Cuántas personas vas a invitar al cine?;cuántas personas vas a invitar al cine
Me acabo de comprar un proyector de diapositivas pero no tengo idea de como armarlo.;me acabo de comprar un proyector de diapositivas pero no tengo idea de como armarlo
El Llano en Llamas es un clásico de Juan Rulfo.;el llano en llamas es un clásico de juan rulfo
Quiero que sea un lugar de calidad y que esté abierto hasta tarde.;quiero que sea un lugar de calidad y que esté abierto hasta tarde
¿Hay algo en la lista de regalos con el envío gratis?;hay algo en la lista de regalos con el envío gratis
¿Cuáles son las principales diferencias?;cuáles son las principales diferencias
Acá tengo la programación completa de la sala de exposiciones.;acá tengo la programación completa de la sala de exposiciones
Según mis datos este lunes quince de Abril no hay partido de bádminton.;según mis datos este lunes quince de abril no hay partido de bádminton
El caballo está amarrado.;el caballo está amarrado
Para que el sabor de la comida inglesa realmente resalte se recomienda un vino más dulzón.;para que el sabor de la comida inglesa realmente resalte se recomienda un vino más dulzón
Me gustaría organizar unas charlas sobre cerveza artesanal.;me gustaría organizar unas charlas sobre cerveza artesanal
Le recomiendo que lleve paraguas y bebidas calientes.;le recomiendo que lleve paraguas y bebidas calientes
El mango me encanta.;el mango me encanta
No te entiendo nada.;no te entiendo nada
¿Qué dice el titular de esta mañana?;qué dice el titular de esta mañana
No supo descifrar las huellas.;no supo descifrar las huellas
Frida Kahlo estaba casada con el artista mexicano llamado Diego Rivera.;frida kahlo estaba casada con el artista mexicano llamado diego rivera
Estoy acá con un amigo discutiendo sobre el encuentro de boxeo.;estoy acá con un amigo discutiendo sobre el encuentro de boxeo
Quiero que la cartera se pueda usar de pañalera, pero que también la pueda usar para salir.;quiero que la cartera se pueda usar de pañalera pero que también la pueda usar para salir
Estacione el auto en una zona segura y encienda las luces intermitentes.;estacione el auto en una zona segura y encienda las luces intermitentes
Los sandwiches están fríos.;los sandwiches están fríos
Quiero que sea un regalo sorpresa.;quiero que sea un regalo sorpresa
La película me llegó al corazón.;la película me llegó al corazón
Miguel Angel, estrenaron una película acá en Lima pero no me acuerdo si es de animación.;miguel angel estrenaron una película acá en lima pero no me acuerdo si es de animación
La granizada destruyó toda la plantación de lechuga.;la granizada destruyó toda la plantación de lechuga
¿Podrías decirme cuál es la canción numero uno a nivel mundial?;podrías decirme cuál es la canción numero uno a nivel mundial
Él es una persona que viene de un barrio muy humilde.;él es una persona que viene de un barrio muy humilde
Quiero que me des las noticias de los noticieros más importantes.;quiero que me des las noticias de los noticieros más importantes
Hay más de setenta estaciones en el centro de la ciudad.;hay más de setenta estaciones en el centro de la ciudad
Ayer ví a una tía que no veía desde que era niña.;ayer ví a una tía que no veía desde que era niña
El caballo está amarrado.;el caballo está amarrado
No te entiendo nada.;no te entiendo nada
¿Cuántas personas vas a invitar al día de campo?;cuántas personas vas a invitar al día de campo
¿Me puedes pasar tus datos para comprarte la computadora?;me puedes pasar tus datos para comprarte la computadora
¿Hay alguna obra de teatro el día de hoy?;hay alguna obra de teatro el día de hoy
Mañana va a helar en la madrugada.;mañana va a helar en la madrugada
Lo podés pagar con la tarjeta oro de Mastercard.;lo podés pagar con la tarjeta oro de mastercard
El ajo no me gusta.;el ajo no me gusta
¿Quién subió el mejor video?;quién subió el mejor video
Ayer llovió mucho, y llegue tarde a mi reunión.;ayer llovió mucho y llegue tarde a mi reunión
No supo descifrar las huellas.;no supo descifrar las huellas
Tenés que hacer un examen de quince minutos en de la página de Internet.;tenés que hacer un examen de quince minutos en de la página de internet
Me parece muy interesante el libro de Laura sobre ciencias forenses.;me parece muy interesante el libro de laura sobre ciencias forenses
¿Cómo puedo comunicarme efectivamente con el gobernador?;cómo puedo comunicarme efectivamente con el gobernador
Veracruz está ubicada en la costa del golfo de México.;veracruz está ubicada en la costa del golfo de méxico
